TV_Manufacturing_Brand,DATE,DEMAND ,CPI,CCI,PPI,Unit_Price,Supply_Data,SALES,Cost_SMS,Cost_Newspaper,Cost_Radio,Cost_TV,Cost_Internet,GRP_NewPaper,GRP_SMS,GRP_Radio,GRP_Internet,GRP_TV
TV Manufacturing & Supplier Unit,2010-01-11,6205,"104,9","96,3","106,7","361,62",6305,"2280014,10","80,14","13,42","101,69","1390,65","627,24","92,486","6,9945","112,9545","304,8636","867,1818"
TV Manufacturing & Supplier Unit,2010-01-12,5006,"104,9","96,3","106,7","361,62",5226,"1889826,12","84,34","13,48","105,89","1442,58","613,14","206,96","69,9877","115,3636","298,5455","905,4091"
TV Manufacturing & Supplier Unit,2010-01-13,5034,"104,9","96,3","106,7","361,62",5134,"1856557,08","75,42","13,21","104,56","1417,13","615,86","83,632","49,589","171,5","309,6818","880,5909"
TV Manufacturing & Supplier Unit,2010-01-14,4319,"104,9","96,3","106,7","361,62",4279,"1547371,98","70,79","12,96","97,62","1357,72","688,67","118,126","46,3774","123,8182","273,7727","791,7727"
TV Manufacturing & Supplier Unit,2010-01-15,5082,"104,9","96,3","106,7","361,62",5212,"1884763,44","68,99","13,25","102,47","1378,42","636,67","125,388","47,8766","111,2727","275,6818","867,7273"
TV Manufacturing & Supplier Unit,2010-01-16,5155,"104,9","96,3","106,7","361,62",5245,"1896696,90","69,66","13,08","102,31","1393,86","610,29","86,23","34,2365","117,6818","280,8182","840,1364"
TV Manufacturing & Supplier Unit,2010-01-17,6000,"104,9","96,3","106,7","361,62",6280,"2270973,60","66,07","13,41","95,45","1428,79","622,10","95,229","60,6667","100,9091","284,9545","796,5909"
TV Manufacturing & Supplier Unit,2010-01-18,6340,"104,9","96,3","106,7","361,62",6240,"2256508,80","74,18","13,35","103,06","1399,97","602,00","158,382","18,7505","112,2727","281,6818","914,9091"
TV Manufacturing & Supplier Unit,2010-01-19,6402,"104,9","96,3","106,7","361,62",6482,"2344020,84","63,52","13,12","97,29","1400,13","5072,62","48,039","19,0108","116,8182","265,9091","1379,4091"
TV Manufacturing & Supplier Unit,2010-01-20,7312,"104,9","96,3","106,7","361,62",7542,"2727338,04","68,81","13,32","96,52","1397,79","5413,10","221,528",0,"118,6364","279,1818","904,5"
TV Manufacturing & Supplier Unit,2010-01-21,5369,"104,9","96,3","106,7","361,62",5759,"2082569,58","73,77","13,24","97,50","1390,84","5230,29","208,569","30,429","103,9545","276,2727","828,0455"
TV Manufacturing & Supplier Unit,2010-01-22,6231,"104,9","96,3","106,7","361,62",6841,"2473842,42","72,19","13,44","97,26","1411,58","2421,43","136,737","31,5863","109,3182","283,2727","953,0455"
TV Manufacturing & Supplier Unit,2010-01-23,10796,"104,9","96,3","106,7","361,62",11456,"4142718,72","66,09","13,23","97,62","1406,08","2126,71","151,538","43,0027","119,2727","299,3636",945
TV Manufacturing & Supplier Unit,2010-01-24,10783,"104,9","96,3","106,7","361,62",10453,"3780013,86","74,53","12,97","98,96","1358,78","6354,57","5,659","43,1783","106,9545","286,7273","896,5"
TV Manufacturing & Supplier Unit,2010-01-25,10364,"104,9","96,3","106,7","361,62",10484,"3791224,08","82,35","13,49","108,90","1441,57","3272,95","173,248","11,7112","138,3182","317,8182","1253,8636"
TV Manufacturing & Supplier Unit,2010-01-26,10775,"104,9","96,3","106,7","361,62",10266,"3712390,92","73,02","13,52","100,91","1417,05","2568,71","200,366","11,8272","120,9545","254,0909","912,6818"
TV Manufacturing & Supplier Unit,2010-01-27,10700,"104,9","96,3","106,7","361,62",10206,"3690693,72","80,25","13,53","101,45","1417,12","4164,43","100,809",0,"139,4545","273,4545","1060,3182"
TV Manufacturing & Supplier Unit,2010-01-28,10140,"104,9","96,3","106,7","361,62",10176,"3679845,12","74,22","13,37","102,57","1438,10","3379,33","32,421","50,8308","116,9091",254,"913,5909"
TV Manufacturing & Supplier Unit,2010-01-29,10842,"104,9","96,3","106,7","361,62",10234,"3700819,08","81,90","13,96","112,86","1451,78","3155,14","52,031","144,9951","87,1364","241,4545","799,1818"
TV Manufacturing & Supplier Unit,2010-01-30,10645,"104,9","96,3","106,7","361,62",10446,"3777482,52","70,44","13,58","102,64","1436,16","252,91","172,967","95,636","79,3636","221,9545","853,5909"
TV Manufacturing & Supplier Unit,2010-01-31,10951,"104,9","96,3","106,7","361,62",10346,"3741320,52","70,82","13,66","99,80","1446,79","2981,05","189,24","11,8084","93,0909","240,1364","881,7273"
TV Manufacturing & Supplier Unit,2010-02-01,10668,"104,9","96,5","107,2","361,62",10216,"3694309,92","76,98","13,57","103,63","1462,29","3706,67","206,839","3,8765","97,9545","244,3636","971,9091"
TV Manufacturing & Supplier Unit,2010-02-02,10565,"104,9","96,5","107,2","361,62",10505,"3798818,10","75,04","13,75","103,31","1438,69","2226,43","132,829",0,"94,3182","230,0455","868,1818"
TV Manufacturing & Supplier Unit,2010-02-03,10733,"104,9","96,5","107,2","361,62",10661,"3855230,82","86,20","13,77","118,47","1477,82","4038,81","194,316","34,6945","77,8182","197,1818","821,3636"
TV Manufacturing & Supplier Unit,2010-02-04,11926,"104,9","96,5","107,2","361,62",10305,"3726494,10","71,38","13,19","98,64","1387,50","3323,76","140,09","35,5475","66,8636","191,1818","770,9091"
TV Manufacturing & Supplier Unit,2010-02-05,11236,"104,9","96,5","107,2","361,62",10226,"3697926,12","70,14","13,36","98,46","1424,49","4422,67","149,738","15,863","66,9545","194,4545","697,6364"
TV Manufacturing & Supplier Unit,2010-02-06,11113,"104,9","96,5","107,2","361,62",10134,"3664657,08","70,03","13,41","104,36","1417,10","3892,38","99,954","15,817","98,1364","253,5455","928,5455"
TV Manufacturing & Supplier Unit,2010-02-07,11600,"104,9","96,5","107,2","361,62",10279,"3717091,98","70,74","13,20","98,96","1400,18","1885,19","117,032",0,"95,9091","254,0455","843,4091"
TV Manufacturing & Supplier Unit,2010-02-08,11400,"104,9","96,5","107,2","361,62",10212,"3692863,44","75,72","13,64","98,54","1401,30","1953,81","121,125","35,811","89,0909","245,5","767,3182"
TV Manufacturing & Supplier Unit,2010-02-09,11335,"104,9","96,5","107,2","361,62",10245,"3704796,90","62,69","12,82","84,13","1339,81","1791,19","189,038",0,"94,4091","247,6364","802,2273"
TV Manufacturing & Supplier Unit,2010-02-10,11638,"104,9","96,5","107,2","361,62",10280,"3717453,60","72,15","13,69","97,15","1434,90","3074,67","196,773",0,"92,0455","291,5909","785,5909"
TV Manufacturing & Supplier Unit,2010-02-11,11282,"104,9","96,5","107,2","361,62",10240,"3702988,80","72,91","13,36","102,38","1442,03","3117,05","160,32",0,"135,0455","249,3182","846,5"
TV Manufacturing & Supplier Unit,2010-02-12,11834,"104,9","96,5","107,2","361,62",10482,"3790500,84","71,83","13,68","98,00","1460,45","2023,52","147,936","40,3932","92,5","221,1818","790,3636"
TV Manufacturing & Supplier Unit,2010-02-13,11541,"104,9","96,5","107,2","361,62",10542,"3812198,04","70,96","13,76","98,76","1454,82","3395,67","262,807",0,"96,9091","252,4091","898,4545"
TV Manufacturing & Supplier Unit,2010-02-14,12830,"104,9","96,5","107,2","361,62",11759,"4252289,58","59,28","13,22","84,63","1392,11","2921,33","311,592","30,3757","106,1818","254,9091","1144,5455"
TV Manufacturing & Supplier Unit,2010-02-15,12642,"104,9","96,5","107,2","361,62",12841,"4643562,42","64,70","13,21","92,60","1397,26","2825,10","455,428","46,9608","126,0455","269,3182","1115,2727"
TV Manufacturing & Supplier Unit,2010-02-16,12739,"104,9","96,5","107,2","361,62",13456,"4865958,72","68,49","13,72","90,13","1433,56","5082,67","467,509","93,5075","114,2273","324,5909","1271,5455"
TV Manufacturing & Supplier Unit,2010-02-17,12677,"104,9","96,5","107,2","361,62",13453,"4864873,86","63,47","13,86","89,03","1441,48","4011,71","402,614",0,"118,0455","281,5455","971,7273"
TV Manufacturing & Supplier Unit,2010-02-18,11263,"104,9","96,5","107,2","361,62",12134,"4387897,08","61,03","13,62","90,32","1411,83","2666,86","435,346","105,1623","118,5909","261,4545","893,6818"
TV Manufacturing & Supplier Unit,2010-02-19,11814,"104,9","96,5","107,2","361,62",12406,"4486257,72","56,05","12,87","75,91","1322,61","1675,91","408,612",0,"175,5455","275,6364","3826,6818"
TV Manufacturing & Supplier Unit,2010-02-20,12701,"104,9","96,5","107,2","361,62",13701,"4954555,62","62,41","13,10","85,10","1365,00","3668,48","481,883","104,0112","167,9545","241,7273","2170,1818"
TV Manufacturing & Supplier Unit,2010-02-21,8936,"104,9","96,5","107,2","361,62",5245,"1896696,90","58,39","12,99","80,56","1387,41","0,00","217,694",0,95,"216,7273","969,1818"
TV Manufacturing & Supplier Unit,2010-02-22,9393,"104,9","96,5","107,2","361,62",6280,"2270973,60","47,55","12,72","73,13","1333,34","2429,71","52,865","25,8875","111,0909","234,9545","1835,1818"
TV Manufacturing & Supplier Unit,2010-02-23,9602,"104,9","96,5","107,2","361,62",6240,"2256508,80","59,88","13,44","80,32","1381,65","2754,05","88,948","26,1196","115,1818","242,5909","1697,8636"
TV Manufacturing & Supplier Unit,2010-02-24,9207,"104,9","96,5","107,2","361,62",6482,"2344020,84","61,27","13,44","77,79","1413,09","2785,10","57,238","36,1466","141,6818","237,7727","1549,3636"
TV Manufacturing & Supplier Unit,2010-02-25,9717,"104,9","96,5","107,2","361,62",7542,"2727338,04","71,01","13,40","84,74","1402,93","4393,29","28,846","62,6395","108,2273","248,8182","1114,8636"
TV Manufacturing & Supplier Unit,2010-02-26,9512,"104,9","96,5","107,2","361,62",5759,"2082569,58","60,19","13,03","83,96","1380,00","3948,33","621,432","20,7815","108,3182","276,7273","1028,1364"
TV Manufacturing & Supplier Unit,2010-02-27,8264,"104,9","96,5","107,2","361,62",6841,"2473842,42","67,08","13,47","85,22","1415,71","5381,38","1040,787","51,0694","119,9545","276,2727","941,4545"
TV Manufacturing & Supplier Unit,2010-02-28,8327,"104,9","96,5","107,2","361,62",6456,"2334618,72","60,65","13,10","78,36","1368,84","4420,81","854,31",0,"89,8636","226,3636","896,9545"
TV Manufacturing & Supplier Unit,2010-03-01,8820,"105,4","96,5","106,4","361,62",5453,"1971913,86","58,11","13,07","80,05","1371,67","4524,38","587,16",0,99,"220,6818","1072,0455"
TV Manufacturing & Supplier Unit,2010-03-02,8338,"105,4","96,5","106,4","361,62",5134,"1856557,08","57,32","13,08","83,51","1380,70","3647,76","522,584",0,"108,6364","278,2273","928,5909"
TV Manufacturing & Supplier Unit,2010-03-03,8567,"105,4","96,5","106,4","361,62",4279,"1547371,98","60,70","13,50","77,86","1385,13","3238,14","900,812","47,174","157,2727","258,3636","1084,3636"
TV Manufacturing & Supplier Unit,2010-03-04,8143,"105,4","96,5","106,4","361,62",5212,"1884763,44","59,17","13,85","75,52","1437,64","4245,86","818,376",0,"104,3636","233,6818","807,0909"
TV Manufacturing & Supplier Unit,2010-03-05,8828,"105,4","96,5","106,4","361,62",5245,"1896696,90","65,12","13,33","78,10","1381,77","3604,00","1100,992","46,782","109,6364","226,5909","889,8636"
TV Manufacturing & Supplier Unit,2010-03-06,8585,"105,4","96,5","106,4","361,62",6280,"2270973,60","60,67","13,49","76,73","1399,66","4168,95","272,036",0,"93,9545","222,7727","805,9091"
TV Manufacturing & Supplier Unit,2010-03-07,8988,"105,4","96,5","106,4","361,62",6240,"2256508,80","59,10","13,21","78,61","1369,35","3984,43","817,581","31,3919","81,9091","225,1818","816,2727"
TV Manufacturing & Supplier Unit,2010-03-08,8113,"105,4","96,5","106,4","361,62",6482,"2344020,84","61,14","12,78","76,29","1341,73","3943,52","1288,844","31,1817","98,6818","224,5455","855,8636"
TV Manufacturing & Supplier Unit,2010-03-09,8763,"105,4","96,5","106,4","361,62",7542,"2727338,04","53,79","12,94","74,94","1323,55","5732,00","540,757","31,5487","111,0455","232,8636","791,3636"
TV Manufacturing & Supplier Unit,2010-03-10,8178,"105,4","96,5","106,4","361,62",5759,"2082569,58","71,53","13,74","90,92","1448,97","4794,05","1244,833","31,3605","93,0455",200,"889,3636"
TV Manufacturing & Supplier Unit,2010-03-11,8716,"105,4","96,5","106,4","361,62",6841,"2473842,42","64,28","13,31","83,82","1382,55","4364,33","1758,402",0,"133,5","244,9091","1398,6364"
TV Manufacturing & Supplier Unit,2010-03-12,8679,"105,4","96,5","106,4","361,62",6456,"2334618,72","65,79","12,82","84,10","1347,25","4294,24","1030,257",0,"86,7727","258,7727","755,4545"
TV Manufacturing & Supplier Unit,2010-03-13,7752,"105,4","96,5","106,4","361,62",5453,"1971913,86","62,40","13,55","82,60","1416,17","3653,24","1418,209","33,6281","121,1818","305,2727","1097,0455"
TV Manufacturing & Supplier Unit,2010-03-14,7179,"105,4","96,5","106,4","361,62",5134,"1856557,08","53,77","12,96","74,90","1344,95","3609,91","715,315",0,"94,1364","235,6818","781,4545"
TV Manufacturing & Supplier Unit,2010-03-15,7358,"105,4","96,5","106,4","361,62",4279,"1547371,98","52,82","13,36","71,21","1351,57","4121,33","917,361",0,"107,1364","281,2727",977
TV Manufacturing & Supplier Unit,2010-03-16,7051,"105,4","96,5","106,4","361,62",5212,"1884763,44","57,75","12,78","78,56","1324,15","4237,10","1791,183",0,"95,8636","234,8182","1045,8636"
TV Manufacturing & Supplier Unit,2010-03-17,7027,"105,4","96,5","106,4","361,62",6245,"2258316,90","51,13","11,92","72,77","1257,52","5421,76","1438,156",0,"98,8636","239,5455","1194,5909"
TV Manufacturing & Supplier Unit,2010-03-18,7027,"105,4","96,5","106,4","361,62",5280,"1909353,60","52,15","12,72","71,12","1302,21","3889,76","1296,546","66,0518","84,0455","229,9545","1077,9545"
TV Manufacturing & Supplier Unit,2010-03-19,7128,"105,4","96,5","106,4","361,62",6240,"2256508,80","51,79","12,35","75,26","1311,12","0,00","1606,041","31,3291","106,0455","229,2727","1248,6364"
TV Manufacturing & Supplier Unit,2010-03-20,7627,"105,4","96,5","106,4","361,62",5482,"1982400,84","48,26","12,59","67,77","1285,68","4385,24","733,219","31,442",163,"220,1364","863,9091"
TV Manufacturing & Supplier Unit,2010-03-21,7245,"105,4","96,5","106,4","361,62",6542,"2365718,04","66,10","13,26","90,58","1389,41","4190,62","559,335","98,8613","97,1364","231,2273","931,4545"
TV Manufacturing & Supplier Unit,2010-03-22,7072,"105,4","96,5","106,4","361,62",6759,"2444189,58","59,97","13,44","83,55","1403,43","4585,81","594,017","81,0844","227,4091","348,1818","5330,5909"
TV Manufacturing & Supplier Unit,2010-03-23,7809,"105,4","96,5","106,4","361,62",6841,"2473842,42","55,22","13,24","74,94","1407,84","4315,67","1528,002","60,6353","217,6364","246,2273","1589,4545"
TV Manufacturing & Supplier Unit,2010-03-24,7386,"105,4","96,5","106,4","361,62",6486,"2345467,32","41,94","10,78","72,27","1124,56","3302,67","1456,185","20,4679","906,7727","254,8182","1904,4545"
TV Manufacturing & Supplier Unit,2010-03-25,6578,"105,4","96,5","106,4","361,62",6453,"2333533,86","41,63","10,95","77,28","1151,99","4852,24","1309,68","5,8744","1169,4091","272,7273","2055,2727"
TV Manufacturing & Supplier Unit,2010-03-26,6057,"105,4","96,5","106,4","361,62",6134,"2218177,08","41,65","10,32","74,15","1067,16","4218,52","1074,439","118,4667",124,"243,8182","1194,0455"
TV Manufacturing & Supplier Unit,2010-03-27,6493,"105,4","96,5","106,4","361,62",6279,"2270611,98","43,86","10,44","82,83","1122,38","3900,43","1201,36","33,12","84,6818","223,3182","859,0909"
TV Manufacturing & Supplier Unit,2010-03-28,6622,"105,4","96,5","106,4","361,62",5212,"1884763,44","48,43","11,10","92,75","1155,23","4992,52","1321,858","64,7",76,"199,4545","920,6818"
TV Manufacturing & Supplier Unit,2010-03-29,6103,"105,4","96,5","106,4","361,62",6245,"2258316,90","41,24","10,78","74,24","1114,64","4108,86","1051,006","85,2464","87,1364","403,7727","1091,8182"
TV Manufacturing & Supplier Unit,2010-03-30,6809,"105,4","96,5","106,4","361,62",5280,"1909353,60","38,06","10,03","75,15","1070,13","3149,86","935,436","7,3203","110,7727","268,5455","1095,4091"
TV Manufacturing & Supplier Unit,2010-03-31,6401,"105,4","96,5","106,4","361,62",5240,"1894888,80","38,20","10,52","79,53","1105,05","3783,00","1674,99","35,0395","96,7273","225,7727","861,1364"
TV Manufacturing & Supplier Unit,2010-04-01,6381,"105,3","96,5","106,4","361,62",6482,"2344020,84","40,65","10,73","81,73","1115,92","3883,10","1066,52",0,"131,6818","210,3182","849,5455"
TV Manufacturing & Supplier Unit,2010-04-02,6714,"105,3","96,5","106,4","361,62",7542,"2727338,04","41,40","10,49","73,45","1080,40","3695,71","1119,701","70,3706","152,5","214,1818","950,0909"
TV Manufacturing & Supplier Unit,2010-04-03,6816,"105,3","96,5","106,4","361,62",5759,"2082569,58","48,40","11,07","83,99","1155,65","4390,14","1153,756","101,5147","95,1364","226,2273","852,8182"
TV Manufacturing & Supplier Unit,2010-04-04,5756,"105,3","96,5","106,4","361,62",6841,"2473842,42","42,53","10,51","77,90","1084,37","4997,38","1430,851","101,9914","106,3182",282,901
TV Manufacturing & Supplier Unit,2010-04-05,7009,"105,3","96,5","106,4","361,62",6456,"2334618,72","44,44","10,81","81,46","1140,69","4414,29","996,813","33,7128","92,0455","246,8182","962,8182"
TV Manufacturing & Supplier Unit,2010-04-06,6740,"105,3","96,5","106,4","361,62",6453,"2333533,86","42,63","11,22","79,36","1176,21","3298,95","390,3756",0,"891,5664","1540,4294","7307,3182"
TV Manufacturing & Supplier Unit,2010-04-07,7985,"105,3","96,5","106,4","361,62",7134,"2579797,08","49,22","11,00","86,81","1151,52","2838,13","462,8413","17,6288","173,3708","394,712","1420,9545"
TV Manufacturing & Supplier Unit,2010-04-08,5935,"105,3","96,5","106,4","361,62",6279,"2270611,98","46,26","11,37","84,54","1162,74","2744,63","676,4964","27,254","165,5566","493,4066","1356,9091"
TV Manufacturing & Supplier Unit,2010-04-09,5698,"105,3","96,5","106,4","361,62",6212,"2246383,44","42,29","11,09","79,80","1147,72","4937,90","694,4416","54,2678","149,4013","543,3876","1224,5"
TV Manufacturing & Supplier Unit,2010-04-10,6874,"105,3","96,5","106,4","361,62",6245,"2258316,90","38,93","10,69","72,21","1090,94","2590,90","646,6664","61,0317","108,051","280,2315","885,5909"
TV Manufacturing & Supplier Unit,2010-04-11,5953,"105,3","96,5","106,4","361,62",6250,"2260125,00","44,37","10,86","79,35","1129,29","1628,17","606,9556",0,"163,1774","580,3669","1337,4091"
TV Manufacturing & Supplier Unit,2010-04-12,6005,"105,3","96,5","106,4","361,62",6340,"2292670,80","38,70","10,89","79,27","1151,45","3563,99","715,7929","60,3637","115,3161","249,0141","945,1364"
TV Manufacturing & Supplier Unit,2010-04-13,6457,"105,3","96,5","106,4","361,62",6582,"2380182,84","46,68","11,34","81,92","1179,43","0,00","323,3644",0,"113,4305","240,695","929,6818"
TV Manufacturing & Supplier Unit,2010-04-14,6110,"105,3","96,5","106,4","361,62",6542,"2365718,04","41,57","10,81","78,37","1107,30","2360,51","78,5261","15,024","123,818","311,9083","1014,8182"
TV Manufacturing & Supplier Unit,2010-04-15,6374,"105,3","96,5","106,4","361,62",6759,"2444189,58","42,83","11,44","77,91","1161,94","2675,61","132,1241","15,1587","168,141","304,1815","1378,0909"
TV Manufacturing & Supplier Unit,2010-04-16,6071,"105,3","96,5","106,4","361,62",6841,"2473842,42","37,92","11,89","62,97","1251,25","2705,77","85,0218","20,9779","178,9666","381,9316","1466,8182"
TV Manufacturing & Supplier Unit,2010-04-17,7031,"105,3","96,5","106,4","361,62",7056,"2551590,72","38,93","10,69","79,35","1090,94","4268,16","42,8481","36,3533","131,8041","378,6272","1080,2727"
TV Manufacturing & Supplier Unit,2010-04-18,7110,"105,3","96,5","106,4","361,62",7453,"2695153,86","41,57","10,81","78,37","1107,30","2360,51","78,5261","15,024","123,818","311,9083","1014,8182"
TV Manufacturing & Supplier Unit,2010-04-19,6374,"105,3","96,5","106,4","361,62",6134,"2218177,08","42,83","11,44","77,91","1161,94","2675,61","132,1241","15,1587","168,141","304,1815","1378,0909"
TV Manufacturing & Supplier Unit,2010-04-20,6071,"105,3","96,5","106,4","361,62",6279,"2270611,98","37,92","11,89","62,97","1251,25","2705,77","85,0218","20,9779","178,9666","381,9316","1466,8182"
TV Manufacturing & Supplier Unit,2010-04-21,6131,"105,3","96,5","106,4","361,62",6212,"2246383,44","38,70","10,69","79,35","1090,94","4268,16","42,8481","36,3533","131,8041","378,6272","1080,2727"
TV Manufacturing & Supplier Unit,2010-04-22,5884,"105,3","96,5","106,4","361,62",6245,"2258316,90","77,48","14,10","112,34","1479,46","722,57","95,333","11,8398",91,"276,3636","756,5909"
TV Manufacturing & Supplier Unit,2010-04-23,4366,"105,3","96,5","106,4","361,62",6280,"2270973,60","73,48","13,30","105,71","1369,89","717,86","114,957","27,8039","111,9091","291,3182","860,1364"
TV Manufacturing & Supplier Unit,2010-04-24,4006,"105,3","96,5","106,4","361,62",6240,"2256508,80","80,61","13,20","108,77","1428,06","653,33","113,09",0,"94,6364","282,7273","751,9545"
TV Manufacturing & Supplier Unit,2010-04-25,4076,"105,3","96,5","106,4","361,62",6482,"2344020,84","65,93","12,72","93,31","1309,35","622,10","72,442",0,"98,5909","306,3182","749,4545"
TV Manufacturing & Supplier Unit,2010-04-26,4834,"105,3","96,5","106,4","361,62",7542,"2727338,04","77,48","14,10","112,34","1479,46","722,57","95,333","11,8398",91,"276,3636","756,5909"
TV Manufacturing & Supplier Unit,2010-04-27,4636,"105,3","96,5","106,4","361,62",5759,"2082569,58","73,48","13,30","105,71","1369,89","717,86","114,957","27,8039","111,9091","291,3182","860,1364"
TV Manufacturing & Supplier Unit,2010-04-28,4166,"105,3","96,5","106,4","361,62",6841,"2473842,42","80,61","13,20","108,77","1428,06","653,33","113,09",0,"94,6364","282,7273","751,9545"
TV Manufacturing & Supplier Unit,2010-04-29,4186,"105,3","96,5","106,4","361,62",6456,"2334618,72","65,93","12,72","93,31","1309,35","622,10","72,442",0,"98,5909","306,3182","749,4545"
TV Manufacturing & Supplier Unit,2010-04-30,4405,"105,3","96,5","106,4","361,62",5453,"1971913,86","89,73","13,79","117,64","1417,01","624,24","87,649",0,"105,0455","306,4545","754,2727"
TV Manufacturing & Supplier Unit,2010-05-01,5561,"105,5","96,5","106,4","361,62",4240,"1533268,80","68,81","12,58","91,61","1334,34","611,71","38,235",0,108,"305,9545","776,6364"
TV Manufacturing & Supplier Unit,2010-05-02,6205,"105,5","96,5","106,4","361,62",4266,"1542670,92","80,14","13,42","101,69","1390,65","627,24","92,486","6,9945","112,9545","304,8636","867,1818"
TV Manufacturing & Supplier Unit,2010-05-03,5006,"105,5","96,5","106,4","361,62",4206,"1520973,72","84,34","13,48","105,89","1442,58","613,14","206,96","69,9877","115,3636","298,5455","905,4091"
TV Manufacturing & Supplier Unit,2010-05-04,5034,"105,5","96,5","106,4","361,62",4176,"1510125,12","75,42","13,21","104,56","1417,13","615,86","83,632","49,589","171,5","309,6818","880,5909"
TV Manufacturing & Supplier Unit,2010-05-05,4319,"105,5","96,5","106,4","361,62",5234,"1892719,08","70,79","12,96","97,62","1357,72","688,67","118,126","46,3774","123,8182","273,7727","791,7727"
TV Manufacturing & Supplier Unit,2010-05-06,5082,"105,5","96,5","106,4","361,62",4446,"1607762,52","68,99","13,25","102,47","1378,42","636,67","125,388","47,8766","111,2727","275,6818","867,7273"
TV Manufacturing & Supplier Unit,2010-05-07,5155,"105,5","96,5","106,4","361,62",4346,"1571600,52","69,66","13,08","102,31","1393,86","610,29","86,23","34,2365","117,6818","280,8182","840,1364"
TV Manufacturing & Supplier Unit,2010-05-08,6000,"105,5","96,5","106,4","361,62",4216,"1524589,92","66,07","13,41","95,45","1428,79","622,10","95,229","60,6667","100,9091","284,9545","796,5909"
TV Manufacturing & Supplier Unit,2010-05-09,6340,"105,5","96,5","106,4","361,62",4505,"1629098,10","74,18","13,35","103,06","1399,97","602,00","158,382","18,7505","112,2727","281,6818","914,9091"
TV Manufacturing & Supplier Unit,2010-05-10,6402,"105,5","96,5","106,4","361,62",5661,"2047130,82","63,52","13,12","97,29","1400,13","5072,62","48,039","19,0108","116,8182","265,9091","1379,4091"
TV Manufacturing & Supplier Unit,2010-05-11,7312,"105,5","96,5","106,4","361,62",6305,"2280014,10","68,81","13,32","96,52","1397,79","5413,10","221,528",0,"118,6364","279,1818","904,5"
TV Manufacturing & Supplier Unit,2010-05-12,5369,"105,5","96,5","106,4","361,62",5226,"1889826,12","73,77","13,24","97,50","1390,84","5230,29","208,569","30,429","103,9545","276,2727","828,0455"
TV Manufacturing & Supplier Unit,2010-05-13,6231,"105,5","96,5","106,4","361,62",5134,"1856557,08","72,19","13,44","97,26","1411,58","2421,43","136,737","31,5863","109,3182","283,2727","953,0455"
TV Manufacturing & Supplier Unit,2010-05-14,6796,"105,5","96,5","106,4","361,62",4279,"1547371,98","66,09","13,23","97,62","1406,08","2126,71","151,538","43,0027","119,2727","299,3636",945
TV Manufacturing & Supplier Unit,2010-05-15,5783,"105,5","96,5","106,4","361,62",5212,"1884763,44","74,53","12,97","98,96","1358,78","6354,57","5,659","43,1783","106,9545","286,7273","896,5"
TV Manufacturing & Supplier Unit,2010-05-16,6364,"105,5","96,5","106,4","361,62",5245,"1896696,90","82,35","13,49","108,90","1441,57","3272,95","173,248","11,7112","138,3182","317,8182","1253,8636"
TV Manufacturing & Supplier Unit,2010-05-17,5775,"105,5","98,3","106,4","361,62",6280,"2270973,60","73,02","13,52","100,91","1417,05","2568,71","200,366","11,8272","120,9545","254,0909","912,6818"
